step,start,end,latency,execution
1,0,49111,49111,63296
2,14299,68871,54572,29838
3,24384,89125,64741,30167
4,34306,109021,74715,29835
5,44251,129193,84942,29899
6,53983,149313,95330,29961
7,63830,169516,105686,30264
8,73899,189707,115808,29963
9,83676,209955,126279,29984
10,93418,229978,136560,29814
11,103215,249876,146661,29639
12,112960,269971,157011,29946
13,122818,289848,167030,29736
14,132685,309844,177159,29852
15,142545,329514,186969,29529
16,152410,349145,196735,29490
17,162274,368805,206531,29520
18,172137,388363,216226,29458
19,182042,408045,226003,29558
20,191924,427538,235614,29351
21,201786,447181,245395,29495
22,211642,466743,255101,29393
23,221477,486443,264966,29421
24,231203,506173,274970,29441
25,240920,525772,284852,29324
26,250649,545428,294779,29481
27,260478,564917,304439,29208
28,270201,584509,314308,29307
29,279921,604324,324403,29567
30,289677,624267,334590,39795
31,309536,644064,334528,39588
32,329334,663745,334411,39285
33,348946,683352,334406,39275
34,368622,703214,334592,39472
35,388240,723057,334817,39358
36,407763,742641,334878,39235
37,427420,762273,334853,39251
38,447047,781870,334823,39134
39,466590,801526,334936,39405
40,486345,820996,334651,39096
41,505977,840493,334516,39079
42,525567,860022,334455,39183
43,545228,879598,334370,39116
44,564776,899208,334432,39248
45,584422,918693,334271,39243
46,604196,938255,334059,39449
47,624089,957695,333606,39158
48,643814,977254,333440,39301
49,663562,996895,333333,39226
50,683154,1016411,333257,39361
51,703005,1035942,332937,39358
52,722838,1055676,332838,39306
53,742418,1075206,332788,39148
54,762043,1094823,332780,39225
55,781657,1114577,332920,39414
56,801325,1134037,332712,38940
57,820813,1153506,332693,38960
58,840310,1173173,332863,39244
59,859893,1192709,332816,39165
60,879530,1213025,333495,39778
61,899000,1232853,333853,39320
62,918500,1252759,334259,39444
63,938046,1272634,334588,39309
64,957488,1292327,334839,39285
65,977088,1312288,335200,39600
66,996735,1331971,335236,39179
67,1016239,1351695,335456,39298
68,1035834,1371079,335245,39048
69,1055505,1390746,335241,39215
70,1075060,1410451,335391,39248
71,1094607,1430044,335437,39334
72,1114354,1449637,335283,39056
73,1133823,1469234,335411,39158
74,1153390,1488939,335549,39316
75,1173008,1508646,335638,39306
76,1192613,1528190,335577,39727
77,1212802,1547850,335048,39530
78,1232677,1567324,334647,39291
79,1252500,1586959,334459,39562
80,1272433,1606615,334182,39383
81,1292167,1626129,333962,39459
82,1312116,1645639,333523,39146
83,1331760,1665290,333530,39417
84,1351532,1684739,333207,38904
85,1370995,1704305,333310,39170
86,1390606,1723791,333185,39189
87,1410317,1743411,333094,39149
88,1429852,1763025,333173,39234
89,1449480,1782483,333003,39111
90,1469140,1802420,333280,39474
91,1488683,1822347,333664,39643
92,1508408,1842171,333763,39493
93,1528085,1861801,333716,39174
94,1547637,1881452,333815,39276
95,1567268,1901064,333796,39076
96,1586738,1920887,334149,39473
97,1606396,1940439,334043,39153
98,1626004,1959834,333830,38861
99,1645476,1979482,334006,39248
100,1665083,1999131,334048,39142
101,1684582,2018669,334087,39055
102,1704105,2038280,334175,39122
103,1723623,2057812,334189,39153
104,1743252,2077395,334143,39230
105,1762905,2096997,334092,39036
106,1782347,2116508,334161,39568
107,1802422,2136164,333742,39379
108,1822151,2155778,333627,39413
109,1841956,2175452,333496,39343
110,1861633,2194923,333290,39175
111,1881345,2214619,333274,39246
112,1900903,2234135,333232,39234
113,1920629,2253769,333140,39281
114,1940283,2273308,333025,38922
115,1959670,2292860,333190,39192
116,1979315,2312644,333329,39441
117,1998978,2332146,333168,39048
