step,start,end,latency,execution
1,0,49737,49737,64360
2,14714,69819,55105,30668
3,25352,89872,64520,29842
4,35149,110030,74881,30301
5,45324,130136,84812,29863
6,55087,150250,95163,30130
7,65126,170328,105202,29810
8,74864,190374,115510,29849
9,84672,210286,125614,29780
10,94545,230075,135530,29656
11,104418,249841,145423,29622
12,114280,269624,155344,29644
13,124150,289425,165275,29659
14,134014,309142,175128,29576
15,143879,328758,184879,29475
16,153742,348389,194647,29489
17,163604,367995,204391,29460
18,173463,387629,214166,29494
19,183327,407337,224010,29548
20,193173,426858,233685,29214
21,202871,446372,243501,29229
22,212591,465941,253350,29229
23,222257,485616,263359,29367
24,231955,505253,273298,29310
25,241634,524768,283134,29244
26,251369,544287,292918,29186
27,261041,564009,302968,29431
28,270755,583716,312961,29413
29,280466,603757,323291,29759
30,290190,623508,333318,38509
31,308957,642960,334003,39081
32,328594,662669,334075,39302
33,348195,682360,334165,39320
34,367832,701850,334018,39175
35,387524,721662,334138,39370
36,407088,741680,334592,39633
37,426711,761528,334817,39301
38,446171,781381,335210,39423
39,465747,801282,335535,39639
40,485493,820729,335236,39010
41,505064,840405,335341,39211
42,524606,860147,335541,39241
43,544112,879638,335526,39164
44,563793,899281,335488,39352
45,583510,918948,335438,39750
46,603610,938569,334959,39320
47,623316,958121,334805,39056
48,642827,977684,334857,39188
49,662460,997370,334910,39320
50,682100,1016774,334674,38978
51,701682,1036323,334641,39386
52,721527,1055930,334403,39513
53,741441,1075533,334092,39459
54,761304,1095188,333884,39521
55,781178,1114791,333613,39482
56,801080,1134343,333263,39049
57,820585,1153900,333315,39233
58,840269,1173326,333057,39041
59,859891,1192837,332946,39097
60,879484,1213068,333584,39835
61,899096,1232859,333763,39507
62,918820,1252494,333674,39165
63,938357,1272046,333689,39100
64,957913,1291540,333627,39077
65,977503,1311164,333661,39253
66,997139,1331175,334036,39407
67,1016543,1351014,334471,39469
68,1036181,1370884,334703,39459
69,1055778,1390827,335049,39571
70,1075414,1410419,335005,39214
71,1095043,1430060,335017,39168
72,1114578,1449644,335066,39126
73,1134128,1469285,335157,39211
74,1153706,1488826,335120,38988
75,1173160,1508379,335219,39140
76,1192754,1527805,335051,39504
77,1212841,1547384,334543,39356
78,1232626,1566991,334365,39218
79,1252245,1586634,334389,39243
80,1271853,1606279,334426,39132
81,1291350,1625909,334559,39322
82,1311050,1645439,334389,39418
83,1330946,1665007,334061,39448
84,1350834,1684592,333758,39424
85,1370680,1704363,333683,39657
86,1390573,1724006,333433,39256
87,1410194,1743716,333522,39344
88,1429836,1763433,333597,39283
89,1449410,1783026,333616,39233
90,1469058,1803048,333990,39570
91,1488613,1822931,334318,39455
92,1508194,1842629,334435,39152
93,1527656,1862366,334710,39244
94,1547171,1882123,334952,39388
95,1566810,1901738,334928,39226
96,1586428,1921640,335212,39536
97,1606069,1941517,335448,39490
98,1625690,1961350,335660,39384
99,1645248,1981319,336071,39469
100,1664756,2001283,336527,39616
101,1684415,2020817,336402,39269
102,1704157,2040509,336352,39333
103,1723804,2059927,336123,39178
104,1743571,2079611,336040,39323
105,1763218,2099114,335896,39115
